Rank,Title,Year,Rating,Genres,Director,Casts,Budget,Gross Worldwide
11,Forrest Gump,1994,8.8,"Drama, Romance",Robert Zemeckis,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis, Logan Livingston Gomez, Ben Waddel, Elizabeth Hanks, Hanna Hall, Tyler Long, Christopher Jones, Grady Bowman, Kevin Mangan, Fay Genens, Frank Geyer, Robin Wright, Rob Landry, Jason McGuire, Pete Auster, Sonny Shroyer, Brett Rice, Ed Davis, Daniel C. Striepeke, Bruce Lucvia, David Brisbin, Kirk Ward, Angela Lomas, Timothy Record, Deborah McTeer, Mark Matheisen, Al Harrington, Jed Gillin, Bob Harks, Don Fischer, Kenneth Bevington, Michael Flannery, Gary Robinson, Mykelti Williamson, Marlena Smalls, Kitty K. Green, Afemo Omilami, Matt Wallace, Danté McCarthy, Paulie DiCocco, Mike Jolly, Michael Kemmerling, John Voldstad, Jeffrey Winner, Russ Wilson, Daniel J. Gillooly, Gary Sinise, Calvin Gadsden, Aaron Izbicki, Michael Burgess, Steven Griffith, Bill Roberson, Michael McFall, Eric Underwood, Steve DeRelian, Byron Minns, Stephen Bridgewater, Bonnie Ann Burgess, Scott Oliver, John William Galt, Hilary Chaplain, Isabel Rose, Jay Ross, Richard D'Alessandro, Dick Stilwell, Kevin Davis, Michael Jace, Geoffrey Blake, Tim Perry, Vanessa Roth, Emily Carey, Paul Raczkowski, Valentine, Dick Cavett, Joe Stefanelli, Tiffany Salerno, Marla Sucharetza, Aloysius Gigl, Jack Bowden, Joe Alaskey, Lazarus Jackson, W. Benson Terry, Matt Rebenkoff, Peter Bannon, The Hallelujah Singers of Beaufort South Carolina, Joe Washington, Nora Dunfee, Natalie Hendrix Tate, Hallie D'Amore, Chiffonye Cobb, Juan Singleton, Bobby Richardson, Michael Mattison, Lenny Herb, Charles Boswell, Timothy McNeil, Haley Joel Osment, Lonnie Hamilton, Teresa Denton, Joe Abby, Rob Adams, Todd Adamson, Markus Alexander, Neil Armstrong, Beth Aylward, Marcus Batton, Keri-Anne Bilotta, Jim Boeke, Arthur Bremer, Grand L. Bush, Clint Calvert, Daniel Chamblin, Troy Christian, Dick Clark, John Connally, Darren W. Conrad, Jim Damron, Ryan Duncan, James Ent, Gerald Ford, Michael Garvey, Leigh Goodoff, Christopher James Hall, Bryan Hanna, Ellsworth Hanna, Jeanne Hanna, Zach Hanner, John Glenn Harding, Bob Hope, Jenny Inge, Russ Isles, Lyndon B. Johnson, Shann Johnson, Jim Keller, John F. Kennedy, Robert F. Kennedy, Conor Kennelly, Aaron Michael Lacey, Teddy Lane Jr., John Lennon, Andrew Lepper, Beau Lotterman, Jacqueline Lovell, Richard Nixon, Darrell O'Cook, Michael Oliver, Shawn Michael Perry, Elvis Presley, Ronald Reagan, Mark A. Rich, Kurt Russell, Michael Satterfield, William Shipman, John Simmit, Robb Skyler, John-Michael Steele, Mary Ellen Trainor, USC Trojan Marching Band, George Wallace, Eric Alan Wendell, Zhuang Zedong",N/A,N/A
12,The Lord of the Rings: The Two Towers,2002,8.8,"Action, Adventure, Drama, Fantasy",Peter Jackson,"Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Orlando Bloom, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif, Calum Gittins, Bernard Hill, Bruce Hopkins, Paris Howe Strewe, Christopher Lee, Nathaniel Lees, John Leigh, Robbie Magasiva, Robyn Malcolm, Ian McKellen, Dominic Monaghan, Viggo Mortensen, Miranda Otto, Craig Parker, Bruce Phillips, Robert Pollock, John Rhys-Davies, Andy Serkis, Olivia Tennet, Ray Trickitt, Liv Tyler, Karl Urban, Stephen Ure, Hugo Weaving, David Wenham, Elijah Wood, Victoria Beynon-Cole, Lee Hartley, Phil Grieve, Billy Jackson, Katherine Jackson, Sean Bean, Timothy Lee, John Noble, Phillip Spencer-Harris, Richard Alexander, Geoff Allen, Frazer Anderson, Daniel Andrews, Ben Barrington, Julian Bartram, Grant Beban, James Bennett, Jarl Benzon, Jørn Benzon, Owen Black, Colin Bleasdale, Dorothy Anne Bonner, Ben Britton, Riley Brophy, Alistair Browning, Alix Bushnell, Sean Button, Ryan Carey, Clint Carleton, Carey Carter, Erin Cassie, Robert Catto, Rodney Cook, Kelly Corbishley, Tack Daniel, Augie Davis, Mana Hira Davis, Shane Dawson, Karlos Drinkwater, Aron Eastwood, Frank Edwards, Lucy Edwards, Greg Ellis, Clint Elvy, Alexia Fairbrother, Daniel Falconer, Claire Farrelly, David Gatward Ferguson, Siaosi Fonua, Kester Fordham, Michael Fowler, Ben Fransham, Frank Goldingham, Andy Gunn, Winham Hammond, June Hancock, Jonathan Harding, Michael Harrison, Lucas Hayward, Dan Hennah, Liz Hewson, Paul Holmes, Jason Hood, Davey Hughes, Lani Jackson, Peter Jackson, Gareth Jensen, Ralph Johnson, Are Manea Karati, Sam Kelly, Ron Kerkmeester, Richard Knowles, Sandro Kopp, Sam La Hood, Greg Lane, Don Langridge, Jaime Lawrence, Michael Lawrence, Alan Lee, Cameron Lemon, Lance Louez, Jono Manks, Anne McCaffery, Brent McIntyre, Dra McKay, Joseph Mika-Hunt, Arnold Montey, Dean Morganty, Henry Mortensen, Francis Mountjoy, Paul Norell, James Ordish, Barrie M. Osborne, Wayne Phillips, Nooroa Poa, Allan Poppleton, Shane Rangi, Gareth Reeves, Miranda Rivers, Campbell Rousselle, Matthew J. Saville, Jeremy Sciascia, Tony Shaw, Sam Shore, Shaneel Sidal, Allan Smith, Dianne Smith, Rebecca Stone, Ken Stratton, Melvin Te Wani, Sarah Thomas, Marcus Thorne, Robbie Titchener, Greg Tozer, John Turner, Piripi Waretini, Julian Wilson, Tim Wong, Hannah Wood, John Wraight, Kelley Kerr Young, Robert Young",N/A,N/A
13,Fight Club,1999,8.8,Drama,David Fincher,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell, Rob Lanza, David Lee Smith, Holt McCallany, Joel Bissonnette, Eion Bailey, Evan Mirand, Robby Robinson, Lou Beatty Jr., Thom Gossom Jr., Valerie Bickford, Jared Leto, Peter Iacangelo, Carl Ciarfalio, Stuart Blumberg, Todd Peirce, Mark Fite, Matt Winston, Joon Kim, Bennie Moore, Lauren Sanchez, Pat McNamara, Tyrone R. Livingston, Owen Masterson, David Jean Thomas, Paul Carafotes, Christopher John Fields, Anderson Bourell, Scotch Ellis Loring, Michael Shamus Wiles, Andi Carnick, Edward Kowalczyk, Leonard Termo, Van Quattro, Markus Redmond, Michael Girardin, Michael Arturo, Jeffrey J. Ayers, Greg Bronson, Marc Cinquanta, Matt Cinquanta, Tommy Dallace, Paul Dillon, Tom Falzone, Julian Flynn, Eddie Hargitay, Phil Hawn, Bruce Holman, Tyler Jackson, Donald R. Jankiewicz, Pat Jankiewicz, Jawara, Baron Jay, Jim Jenkins, Spencer Kayden, Ryan Locke, Kevin Scott Mack, Neal MacMillan, Summer Moore, Trey Ore, Louis Ortiz, Hugh Peddy, J.T. Pontino, Chad Randau, Justin Reed, Waide Aaron Riddle, Marcio Rosario, Gregory Silva, Steve Sobel, Alekxia Valdez, Michael Zagst, Gökhan Öncel",N/A,N/A
14,Inception,2010,8.8,"Action, Adventure, Sci-Fi, Thriller",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune, Yuji Okumoto, Earl Cameron, Ryan Hayward, Miranda Nolan, Russ Fega, Tim Kelleher, Talulah Riley, Nicolas Clerc, Coralie Dedykere, Silvie Laguna, Virgile Bramly, Jean-Michel Dagory, Helena Cullinan, Mark Fleischmann, Shelley Lang, Adam Cole, Jack Murray, Kraig Thornber, Angela Nathenson, Natasha Beaumont, Marc Raducci, Carl Gilliard, Jill Maddrell, Alex Lombard, Nicole Pulliam, Peter Basham, Michael Gaston, Felix Scott, Andrew Pleavin, Lisa Reynolds, Jason Tendell, Jack Gilroy, Shannon Welles, Michael August, Ken Bhan, Salmaan Bokhari, Marvin Campbell, John Ceallach, Gregg Christie, Garvin Cross, James Currie, Youlanda Davis, Julie Eagleton, Seve Esposito, Marcus Everett, Zachary Christopher Fay, Daniel Girondeaud, Natalie Goldwin, Allan Hale, Andrew Hoagland, Guy Iannacone, Marguerite Gioia Insolia, Charles Jarrell, Seong-hwan Jo, Alonzo F. Jones, Spencer Kayden, Mobin Khan, Mike Knox, Shunsaku Kudô, Leticia LaBelle, John Lawson, Jean-Christophe Leger, Arnold Montey, François-Marie Nivon, Scott Pretty, Norman Saleet, Colin Smith, Affan Tareen, Matt Vogel",N/A,N/A
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action, Adventure, Fantasy, Sci-Fi",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness, Jeremy Bulloch, John Hollis, Jack Purvis, Des Webb, Clive Revill, Kenneth Colley, Julian Glover, Michael Sheard, Michael Culver, John Dicks, Milton Johns, Mark Jones, Oliver Maguire, Robin Scobey, Bruce Boa, Christopher Malcolm, Denis Lawson, Richard Oldfield, John Morton, Ian Liston, John Ratzenberger, Jack McKenzie, Jerry Harte, Norman Chancer, Norwich Duff, Ray Hassett, Brigitte Kahn, Burnell Tucker, Tony Allen, Bob Anderson, Alan Austen, Elaine Baker, Richard Bonehill, Stephen Buchanan, Chris Bunn, Mercedes Burleigh, Jane Busby, Maurice Bush, Trevor Butterfield, Alister Cameron, John Cannon, Mark Capri, Tony Clarkin, Les Conrad, Shirley Conrad, Shaun Curry, Martin Dew, Peter Diamond, Jim Dowdall, Ian Durrant, Marjorie Eaton, Mike Edmonds, Tom Egeland, Harrison Ellenshaw, Stephanie English, Stuart Fell, Tom Flood, Alan Flyng, Michael A. Frandy, Patrick Ginter, Leroy Golding, Anthony Guilding, Nelson Hall, Alan Harris, Walter Henry, Kit Hillier, Mike Houston, Susie Hudson, Colin Hunt, Paul Jerricho, Joe Johnston, James Earl Jones, Arve Juritzen, Paul Klein, Michael Leader, Ian McDiarmid, Mac McDonald, Ralph McQuarrie, Steve Meek, Christopher Miller, John Morgridge, Temuera Morrison, Ralph G. Morse, Cathy Munroe, Terence Mustoo, C. Andrew Nelson, Michael Pangrazio, Chris Parsons, Quentin Pierre, Mike Reynell, Terry Richards, Doug Robinson, Peter Ross-Murray, Deep Roy, Peter Roy, Terry Sach, Egbert Sen, Richard Sidoli, Colin Skeaping, Tony Smart, Bernard Steen, David Stone, Alan Swaden, Keith Swaden, Marolyn Turk, Jim Veilleux, Malcolm Weaver, Harold Weed, Treat Williams, Jason Wingreen, Sheb Wooley",N/A,N/A
16,The Matrix,1999,8.7,"Action, Sci-Fi","Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray, Ada Nicodemou, Deni Gordon, Rowan Witt, Eleanor Witt, Tamara Brown, Janaya Pender, Adryn White, Natalie Tjen, Bill Young, David O'Connor, Jeremy Ball, Fiona Johnson, Harry Lawrence, Steve Dodd, Luke Quinton, Lawrence Woodward, Michael Butcher, Bernard Ledger, Robert Simper, Chris Pattinson, Nigel Harbach, Mike Duncan, Nash Edgerton, Rana Morrison, Steve Rutherford, Cody Zacharias",N/A,N/A
17,Goodfellas,1990,8.7,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low, Frank DiLeo, Henny Youngman, Gina Mastrogiacomo, Catherine Scorsese, Charles Scorsese, Suzanne Shepherd, Debi Mazar, Margo Winkler, Welker White, Jerry Vale, Julie Garfield, Christopher Serrone, Elaine Kagan, Beau Starr, Kevin Corrigan, Michael Imperioli, Robbie Vinton, Johnny Williams, Daniel P. Conte, Tony Conforti, Frank Pellegrino, Ronald Maccone, Tony Sirico, Joseph D'Onofrio, Steve Forleo, Richard Dioguardi, Frank Adonis, John Manca, Joseph Bono, Katherine Wallach, Mark Jacobs, Angela Pietropinto, Marianne Leone, Marie Michaels, LoNardo, Melissa Prophet, Illeana Douglas, Susan Varon, Elizabeth Whitcraft, Clem Caserta, Samuel L. Jackson, Fran McGee, Paul Herman, Edward McDonald, Edward Hayes, Daniela Barbosa, Gina Mattia, Joel Calendrillo, Anthony Valentin, Edward D. Murphy, Michael Citriniti, Peter Hock, Erasmus C. Alfano, John Di Benedetto, Manny Alfaro, Thomas Lowry, Margaret Smith, Richard Mullally, Frank Albanese, Paul McIsaac, Bob Golub, Louis Eppolito, Tony Lip, Mikey Black, Peter Cicale, Anthony Powers, Vincent Pastore, Anthony Alessandro, Victor Colicchio, Mike Contessa, Philip Suriano, Paul Mougey, Norman Barbera, Anthony Polemeni, James Quattrochi, Lawrence Sacco, Dino Laudicina, Thomas E. Camuti, Andrew Scudiero, Irving Welzer, Jesse Kirtzman, Russell Halley, Spencer Bradley, Bob Altman, Joanna Bennett, Gayle Lewis, Gaetano Lisi, Luke Walter, Ed Deacy, Larry Silvestri, John 'Cha Cha' Ciarcia, Vito Picone, Janis Corsair, Frank Aquilino, Lisa D'Apolito, Michael Calandrino, Vito Antuofermo, Vito Balsamo, Peter Fain, Vincent Gallo, Gaetano LoGiudice, Garry Pastore, Nicole Burdette, Stella Keitel, Dominique DeVito, Michaelangelo Graziano, Paula Kcira, Nadine Kay, Tony Ellis, Peter Onorati, Jamie De Roy, Joel Blake, H. Clay Dear, Thomas Hewson, Gene Canfield, Margaux Guerard, Violet Gaynor, Tobin Bell, Berlinda Tolbert, Nancy Cassaro, Adam Wandt, Joe Gioco, Isiah Whitlock Jr., Alyson Jones, Ruby Gaynor, Bo Dietl, Steve Baker, Lisa Bostnar, Kevin Brophy, Anthony Caso, Frank Cassini, Joe Chiaramonte, Doug Ferony, Frank Ferruccio, George Gerard, Matthew T. Gitkin, Richard Goteri, Debbee Hinchcliffe, Diane Kimbrell, Anibal O. Lleras, Joseph Minnella, Michael Morano, John Moschitta Sr., Joe Napoleone, Joseph Oliveira, Charles Pendelton, Louis Perez, Jeffrey Rollins, Colette Savage, Randy Schein, Robert Sedona, Jill Senter, Barry Squitieri, Drew Stanley, Frank Stellato, Billy L. Sullivan, Nick Vallelonga",N/A,N/A
18,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,Milos Forman,"Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown, Scatman Crothers, Mwako Cumbuka, Danny DeVito, William Duell, Josip Elic, Lan Fendors, Louise Fletcher, Nathan George, Ken Kenny, Mel Lambert, Sydney Lassick, Kay Lee, Christopher Lloyd, Dwight Marfield, Ted Markland, Louisa Moritz, Jack Nicholson, William Redfield, Philip Roth, Will Sampson, Mimi Sarkisian, Vincent Schiavelli, Mews Small, Delos V. Smith Jr., Tin Welch, Brad Dourif, Aurore Clément, Mary Costa, Bill Gratton, Anjelica Huston, Ingeborg Kjeldsen, Audrey Landers, Tom McCall, Prasanna K. Pati, James V. Shore, Saul Zaentz",N/A,N/A
19,Interstellar,2014,8.7,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Anne Hathaway, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck, Leah Cairns, Jessica Chastain, Liam Dickinson, Topher Grace, Matt Damon, Flora Nolan, Griffen Fraser, Jeff Hephner, Lena Georgas, Elyes Gabel, Brooke Smith, Russ Fega, William Patrick Brown, Cici Leah Campbell, Belle Doyle, Mark Casimir Dyniewicz Jr., Troy Fyhn, Benjamin Hardy, Alexander Michael Helisek, Ryan Irving, Alexander Lu, Derek McEntire, Joseph Oliveira, Benjamin Pitz, Marlon Sanders, Bryan Stamp, Kristian Van der Heyden, Kevan Weber",N/A,N/A
20,Seven,1995,8.6,"Crime, Drama, Mystery, Thriller",David Fincher,"Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt, Gwyneth Paltrow, John Cassini, Bob Mack, Peter Crombie, Reg E. Cathey, R. Lee Ermey, George Christy, Endre Hules, Hawthorne James, William Davidson, Bob Collins, Jimmy Dale Hartsell, Richard Roundtree, Charline Su, Dominique Jennings, Allan Kolman, Beverly Burke, Gene Borkan, Julie Araskog, Mario Di Donato, Alfonso Freeman, John C. McGinley, Harrison White, Bob Stephenson, Michael Reid MacKay, Kevin Spacey, Richard Portnow, Tudor Sherrard, Mark Boone Junior, Pamala Tyson, Lennie Loftin, Sarah Reinhardt, Emily Wagner, Martin Serene, Michael Massee, David Correia, Ron Blair, Jennifer Mueller, Leland Orser, Lexie Bigham, Evan Mirand, Paul Eckstein, Harris Savides, Rachel Flanagan, Heidi Schanz, Brian Evers, Shannon Wilcox, Richard Schiff, James Deeth, John Santin, Charles A. Tamburro, Richmond Arquette, Duffy Gaver, Charles S. Dutton, Gregory Fennell, Tyler Jackson, Mike Knox, Pui Fan Lee, Arthur Max, Gorja Max, Patricia Pinto",N/A,N/A
21,It's a Wonderful Life,1946,8.6,"Drama, Family, Fantasy, Romance",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton, Charles Williams, Sarah Edwards, William Edmunds, Lillian Randolph, Argentina Brunetti, Robert J. Anderson, Ronnie Ralph, Jean Gale, Jeanine Ann Roose, Danny Mummert, Georgie Nokes, Sheldon Leonard, Frank Hagney, Ray Walker, Charles Lane, Edward Keane, Carol Coombs, Karolyn Grimes, Larry Simms, Jimmy Hawkins, Jean Acker, Ernie Adams, Monya Andre, Stanley Andrews, Sam Ash, Jack Bailey, Louise Bates, Mary Bayless, Beth Belden, Brooks Benedict, Joseph E. Bernard, Willie Bloom, Dolores Boucher, Al Bridge, Buz Buckley, Marian Carr, Adriana Caselotti, Lane Chandler, Michael Chapin, Tom Chatterton, Jack Cheatham, Harry Cheshire, Beulah Christian, Edward Clark, Tom Coleman, Ellen Corby, Jimmy the Crow, Bryn Davis, Lew Davis, Marion Raymond Davis, Marilyn Dialon, Helen Dickson, Dick Elliott, Harry Evans, Tom Fadden, Frank Fenton, Eddie Fetherston, Sam Flint, Bess Flowers, Dick Gordon, Jack Gordon, Herschel Graham, Joseph Granby, Robert Haines, Charles Halton, Jean Harrison, Herbert Heywood, Harry Holman, Art Howard, Bert Howard, Arthur Stuart Hull, John Indrisano, Eddie Kane, Carl Kent, Milton Kibbee, Charlott Knight, Effie Laird, Mike Lally, Harold Landon, Meade 'Lux' Lewis, Max Linder, Jack Lomas, J. Farrell MacDonald, Irene Mack, Wilbur Mack, Charles Meakin, Priscilla Montgomery, Bert Moorhouse, Evelyn Moriarty, Philip Morris, Jack Mower, George Noisom, Anton Northpole, Bob O'Connor, Frank O'Connor, Lynn O'Leary-Jameson, Moroni Olsen, Garry Owen, Netta Packer, Franklin Parker, Beulah Parkington, Suzanne Ridgway, Constantine Romanoff, Edith Russell, Loretta Russell, Cy Schindell, Bobby Scott, Almira Sessions, Mabel Smaney, Cedric Stevens, Brick Sullivan, Charles Sullivan, Carl 'Alfalfa' Switzer, Victor Travis, Max Wagner, Larry Wheat, Charles C. Wilson",N/A,N/A
22,Seven Samurai,1954,8.6,"Action, Drama",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara, Daisuke Katô, Isao Kimura, Minoru Chiaki, Seiji Miyaguchi, Yoshio Kosugi, Bokuzen Hidari, Yoshio Inaba, Yoshio Tsuchiya, Kokuten Kôdô, Eijirô Tôno, Kichijirô Ueda, Jun Tatara, Atsushi Watanabe, Toranosuke Ogawa, Isao Yamagata, Sôjin Kamiyama, Gen Shimizu, Keiji Sakakida, Shinpei Takagi, Shin Ôtomo, Toshio Takahara, Hiroshi Sugi, Hiroshi Hayashi, Sachio Sakai, Sôkichi Maki, Ichirô Chiba, Noriko Sengoku, Noriko Honma, Masanobu Ôkubo, Etsuo Saijô, Minoru Itô, Haruya Sakamoto, Gorô Sakurai, Hideo Shibuya, Kiyoshi Kamoda, Senkichi Ômura, Takashi Narita, Shôichi Hirose, Kôji Uno, Masaaki Tachibana, Kamayuki Tsubono, Taiji Naka, Chindanji Miyagawa, Shigemi Sunagawa, Akira Tani, Akio Kusama, Ryûtarô Amami, Jun Mikami, Haruo Nakajima, Sanpei Mine, Masahide Matsushita, Kaneo Ikeda, Takuzô Kumagai, Ippei Kawagoe, Jirô Suzukawa, Junpei Natsuki, Kyôichi Kamiyama, Haruo Suzuki, Gorô Amano, Akira Kitchôji, Kôji Iwamoto, Hiroshi Akitsu, Akira Yamada, Kazuo Imai, Eisuke Nakanishi, Toku Ihara, Hideo Ôtsuka, Tokio Ôkawa, Yasuhisa Tsutsumi, Yasumasa Ônishi, Tsuneo Katagiri, Megeru Shimoda, Masayoshi Kawabe, Shigeo Katô, Yoshikazu Kawamata, Takeshi Seki, Haruko Toyama, Tsuruko Mano, Matsue Ono, Tsurue Ichimanji, Masako Ôshiro, Kyôko Ozawa, Michiko Kadono, Toshiko Nakano, Shizuko Azuma, Keiko Mori, Michiko Kawabe, Yûko Togawa, Yayoko Kitano, Misao Suyama, Toriko Takahara, Kazuo Hinata, Takeshi Katô, Tatsuya Nakadai, Ken Utsui, Ren Yamamoto",N/A,N/A
23,The Silence of the Lambs,1991,8.6,"Crime, Drama, Thriller",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Charles Napier, Tracey Walter, Roger Corman, Ron Vawter, Danny Darst, Jeffrie Lane, Frankie Faison, Paul Lazar, Dan Butler, Chris Isaak, Lawrence A. Bonney, Lawrence T. Wrentz, Don Brockett, Frank Seals Jr., Stuart Rudin, Maria Skorobogatov, Leib Lensky, George 'Red' Schwartz, Jim Roche, James B. Howard, Bill Miller, Chuck Aber, Gene Borkan, Pat McNamara, Kenneth Utt, Darla, Adelle Lutz, Obba Babatundé, George Michael, Jim Dratfield, D. Stanton Miranda, Rebecca Saxon, Cynthia Ettinger, Brent Hinkley, Steve Wyatt, Alex Coleman, David Early, Andre B. Blake, Bill Dalzell, Daniel von Bargen, Tommy Lafitte, Josh Broder, Buzz Kilman, Harry Northup, Lauren Roselli, Lamont Arnold, Kate Castle, Robert W. Castle, Gary Goetzman, John Hall, John W. Iwanonkiw, Lynnette Jenkins, Chris McGinn, Jason Menz, Ted Monte, James Ogilvie, George A. Romero, Edward Saxon, Mike Schaeffer, Ted Tally, Jiggs Walker",N/A,N/A
24,Saving Private Ryan,1998,8.6,"Drama, War",Steven Spielberg,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Matt Damon, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter, Gary Sefton, Julian Spencer, Steve Griffin, William Marsh, Marc Cass, Markus Napier, Neil Finnighan, Peter Miles, Paul Garcia, Seamus McQuade, Ronald Longridge, Adam Shaw, Rolf Saxon, Corey Johnson, Loclann Aiken, John Barnett, Maclean Burke, Victor Burke, Aiden Condron, Shashi Rami, Shane Hagan, Paul Hickey, Shane Johnson, Laird Macintosh, Brian Maynard, Martin McDougall, Mark Phillips, Lee Aaron Rosen, Andrew Scott, Matthew Sharp, Vincent Walsh, Grahame Wood, John Sharian, Glenn Wrage, Crofton Hardester, Martin Hub, Raffaello Degruttola, Nigel Whitmey, Sam Ellis, Erich Redman, Tilo Keiner, Stephan Grothgar, Stephane Cornicard, Michelle Evans, Martin Beaton, Anna Maguire, Nathan Fillion, Leland Orser, Michael Mantas, David Vegh, Ryan Hurst, Nick Brooks, Sam Scudder, John Walters, Dorothy Grumbar, James Innes-Smith, Harve Presnell, Dale Dye, Bryan Cranston, David Wohl, Eric Loren, Valerie Colgan, Amanda Boxer, Harrison Young, Kathleen Byron, Rob Freeman, Thomas Gizbert, Sebastian J. Brook, John de Lancie, James Embree, Declan Geraghty, Chris Hastings, Frank Huseyin, Michael P. Jahoda, Alan Joyce, Derek Lea, Martin Maloney, João Costa Menezes, Taylor Murphy, Abbe Muschallik, Nina Muschallik, Paul Sacks, Mac Steinmeier, Leo Stransky, Vincent Ventresca, Paul Woodadge",N/A,N/A
