title,url,rating,rating_count,description,genre,content_rating,duration
Django Unchained,https://www.imdb.com/title/tt1853728/,8.5,1734047,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Comedy, Drama, Western",R,PT2H45M
City Lights,https://www.imdb.com/title/tt0021749/,8.5,199576,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy, Drama, Romance",G,PT1H27M
Apocalypse Now,https://www.imdb.com/title/tt0078788/,8.4,722679,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama, Mystery, War",R,PT2H27M
Memento,https://www.imdb.com/title/tt0209144/,8.4,1345364,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.","Mystery, Thriller",R,PT1H53M
WALL·E,https://www.imdb.com/title/tt0910970/,8.4,1225394,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.","Animation, Adventure, Family",G,PT1H38M
Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,8.4,1051447,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.","Action, Adventure",PG,PT1H55M
12th Fail,https://www.imdb.com/title/tt23849204/,8.8,131267,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,"Biography, Drama",N/A,PT2H27M
Das Leben der Anderen,https://www.imdb.com/title/tt0405094/,8.4,416704,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.","Drama, Mystery, Thriller",R,PT2H17M
Sunset Blvd.,https://www.imdb.com/title/tt0043014/,8.4,240884,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama, Film-Noir",Approved,PT1H50M
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,8.4,1238354,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Action, Adventure, Sci-Fi",PG-13,PT2H29M
Paths of Glory,https://www.imdb.com/title/tt0050825/,8.4,217682,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,"Drama, War",Approved,PT1H28M
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,8.4,695946,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,"Animation, Action, Adventure",PG,PT1H57M
Witness for the Prosecution,https://www.imdb.com/title/tt0051201/,8.4,141600,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime, Drama, Mystery",Approved,PT1H56M
The Shining,https://www.imdb.com/title/tt0081505/,8.4,1132145,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.","Drama, Horror",R,PT2H26M
The Great Dictator,https://www.imdb.com/title/tt0032553/,8.4,241357,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.,"Comedy, Drama, War",G,PT2H5M
Aliens,https://www.imdb.com/title/tt0090605/,8.4,787188,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Action, Adventure, Sci-Fi",R,PT2H17M
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,8.4,1622449,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same.","Adventure, Drama, War",R,PT2H33M
The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,8.4,1863205,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","Action, Drama, Thriller",PG-13,PT2H44M
Coco,https://www.imdb.com/title/tt2380307/,8.4,615669,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation, Adventure, Drama",PG,PT1H45M
Amadeus,https://www.imdb.com/title/tt0086879/,8.4,435948,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart&apos;s talent and claimed to have murdered him.","Biography, Drama, Music",PG,PT2H40M
Toy Story,https://www.imdb.com/title/tt0114709/,8.3,1090379,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy&apos;s bedroom.,"Animation, Adventure, Comedy",G,PT1H21M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,8.3,526507,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Comedy, War",PG,PT1H35M
Oldeuboi,https://www.imdb.com/title/tt0364569/,8.3,652864,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.","Action, Drama, Mystery",R,PT2H
American Beauty,https://www.imdb.com/title/tt0169547/,8.3,1226604,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.,Drama,R,PT2H2M
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,8.4,1304468,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.","Action, Adventure, Drama",PG-13,PT3H1M
Das Boot,https://www.imdb.com/title/tt0082096/,8.4,268445,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Drama, War",N/A,PT2H29M
Braveheart,https://www.imdb.com/title/tt0112573/,8.3,1106911,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography, Drama, War",R,PT2H58M
Good Will Hunting,https://www.imdb.com/title/tt0119217/,8.3,1097192,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama, Romance",R,PT2H6M
Mononoke-hime,https://www.imdb.com/title/tt0119698/,8.3,444377,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Animation, Action, Adventure",PG-13,PT2H13M
Kimi no na wa.,https://www.imdb.com/title/tt5311514/,8.4,335499,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.","Animation, Drama, Fantasy",N/A,PT1H46M
