title,url,rating,rating_count,description,genre,content_rating,duration
Ah-ga-ssi,https://www.imdb.com/title/tt4016934/,8.1,179200,"In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindler to help seduce the Lady and steal her ...","Drama, Romance, Thriller",Not Rated,PT2H25M
To Be or Not to Be,https://www.imdb.com/title/tt0035446/,8.1,44479,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy.","Comedy, Romance, War",Approved,PT1H39M
Into the Wild,https://www.imdb.com/title/tt0758758/,8.1,666783,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.","Adventure, Biography, Drama",R,PT2H28M
La battaglia di Algeri,https://www.imdb.com/title/tt0058946/,8.1,67176,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama, War",Not Rated,PT2H1M
The Iron Giant,https://www.imdb.com/title/tt0129167/,8.1,234556,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation, Action, Adventure",PG,PT1H26M
Groundhog Day,https://www.imdb.com/title/tt0107048/,8.0,697390,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.","Comedy, Drama, Fantasy",PG,PT1H41M
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,8.1,101619,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama,Approved,PT2H9M
Amores perros,https://www.imdb.com/title/tt0245712/,8.0,256211,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.","Drama, Thriller",R,PT2H34M
Rebecca,https://www.imdb.com/title/tt0032976/,8.1,149250,A self-conscious woman juggles adjusting to her new role as an aristocrat&apos;s wife and avoiding being intimidated by his first wife&apos;s spectral presence.,"Drama, Mystery, Romance",Approved,PT2H10M
The Help,https://www.imdb.com/title/tt1454029/,8.1,501394,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids&apos; point of view on the white families for which they work, and the hardships they go through on a daily b...",Drama,PG-13,PT2H26M
Cool Hand Luke,https://www.imdb.com/title/tt0061512/,8.1,191355,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime, Drama",Approved,PT2H7M
It Happened One Night,https://www.imdb.com/title/tt0025316/,8.1,114482,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.,"Comedy, Romance",Approved,PT1H45M
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,8.2,105705,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Action, Comedy, Crime",Not Rated,PT5H21M
Drishyam,https://www.imdb.com/title/tt4430212/,8.2,97898,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Crime, Drama, Mystery",Not Rated,PT2H43M
Andhadhun,https://www.imdb.com/title/tt8108198/,8.2,105483,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Crime, Mystery, Thriller",Not Rated,PT2H19M
